model,rmse,mae,r2,n_train,n_test,element,label,features
RandomForest,40.57324056819414,30.224827978971017,0.8800549959286145,72519,18271,TMAX,DAY15,"YEAR,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14"
LinearRegression,40.637460744443466,29.981024724690684,0.8796749924908256,72519,18271,TMAX,DAY15,"YEAR,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14"
GBTRegressor,40.96246426866486,30.455582400041834,0.8777426655830806,72519,18271,TMAX,DAY15,"YEAR,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14"
DecisionTree,42.702593525294496,31.418323164334325,0.8671347905287573,72519,18271,TMAX,DAY15,"YEAR,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14"
